title,singer,album,producer,distributor,year_month,is_popular,external_factors,num_times_top_10,num_times_top_5,num_times_top_1
들리나요,지아 (Zia),내 마음이 들리니 OST Part 1,더그루브엔터테인먼트,카카오 M,201104,1,0,0,0,0
들리지 않는 말,창민＆이현 (HOMME),다섯손가락 OST Part 2,허브엔터테인먼트,카카오 M,201210,0,0,0,0,0
들었다 놨다 (Love Actually),"써니힐 (Sunny Hill), 데이브레이크 (Daybreak)",Re;code Episode III,카카오 M,카카오 M,201304,1,0,0,0,0
딱 한잔만,윤건,딱 한잔만,Cento Entertainment,Sony Music,201304,0,0,0,0,0
땡땡땡,슈프림팀 (Supreme Team),Spin Off (Repackage),아메바컬쳐,Stone Music Entertainment,201006-201007,1,0,0,0,0
떠나간다,노을,떠나간다,ITM,카카오 M,201206,0,0,0,0,0
"떠나는 사람, 남겨진 사람",어반 자카파 (Urban Zakapa),Sweety You,인플래닛,인플래닛,201001,0,0,0,0,0
떠나야만해,장범준,장범준 2집,버스커버스커,Stone Music Entertainment,201604,0,0,0,0,0
떠올라,백지영,떠올라,"브레이브엔터테인먼트, WS엔터테인먼트",카카오 M,201306,0,0,0,0,0
떨어지는 낙엽까지도,헤이즈 (Heize),만추,"Stone Music Entertainment, Studio blu",지니뮤직,201910-201911,1,0,0,0,0
또 다시 사랑,임창정,또 다시 사랑,NH EMG,Stone Music Entertainment,201509-201510-201511-201512-201601-201602,1,0,2,1,0
또 보고 싶어 (Feat. 상추),NS Yoon-G,또 보고 싶어,JTM엔터테인먼트,Sony Music,201108,0,0,0,0,0
또 사랑에 속다,에이트 (8eight),또 사랑에 속다,빅히트 엔터테인먼트,Dreamus,202002,0,0,0,0,0
또 생각이 나서 (with 임창정),알리 (ALi),또 생각이 나서 (with 임창정),쥬스엔터테인먼트,Sony Music,201611,0,0,0,0,0
또 싸워 (Feat. 윤하),에픽하이 (Epik High),신발장,YG Entertainment,지니뮤직,201410,1,0,0,0,0
또 운다 또,다비치,DAVICHI HUG,"MMO엔터테인먼트, Stone Music Entertainment",Stone Music Entertainment,201501-201502,1,0,2,2,0
또 하루 (Feat. 개코),Gary (개리),또 하루,리쌍컴퍼니,카카오 M,201601-201602,1,0,1,1,0
또르르,지연 (티아라),공부의 신 OST,마루아라엔터테인먼트,Sony Music,201001,1,0,0,0,0
똑같다면,브라운 아이드 소울 (Brown Eyed Soul),Browneyed Soul,인넥스트 트렌드,Stone Music Entertainment,201011-201012,1,0,2,0,0
똑같아 (Same),비 (Rain),Back To The Basic,제이튠엔터테인먼트,Stone Music Entertainment,201004,0,0,0,0,0
똑같은 사랑 똑같은 이별,어반 자카파 (Urban Zakapa),(02),플럭서스,NHN벅스,201211,1,0,0,0,0
뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP,YG Entertainment,지니뮤직,201806-201807-201808-201809-201810-201811-201901-201902,1,0,4,3,1
뜨거운 안녕 (Feat. 성시경),싸이 (Psy),6집 싸이6甲 Part 1,YG Entertainment,지니뮤직,201207-201208-201209,1,0,1,0,0
뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,MONKEY HOTEL,페포니 뮤직,카카오 M,201904-201905-201906,1,1,0,0,0
뜨래요 (Feat. 앙리 Of 3B),배치기,뜨래요,Sony Music,Sony Music,201404,1,0,0,0,0
뜸,WINNER,뜸,YG Entertainment,YG PLUS,202004,1,0,0,0,0
띵 (Prod. By 기리보이),"Jvcki Wai, Young B, Osshun Gum, 한요한",Dingo X Indigo Music,"인디고뮤직, 딩고뮤직",카카오 M,201901-201902-201903-201904,1,0,1,0,0
라망 (L`amant),아이유 (IU),Last Fantasy,카카오 M,카카오 M,201111-201112,0,0,0,0,0
라면인건가,악동뮤지션 (AKMU),SBS K팝 스타 시즌2 TOP 10 Part 1,SBS 콘텐츠허브,카카오 M,201302-201303,1,0,0,0,0
라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),COLOR*IZ,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,201811-201901,1,0,0,0,0
"랄라랜드 (Feat. 나르샤, 제아)",조PD,랄라랜드 [Digital Single],스타덤,카카오 M,201007,0,0,0,0,0
랄랄라 (Feat. 소야),마이티 마우스 (Mighty Mouth),랄랄라,원오원엔터테인먼트,카카오 M,201107,1,1,0,0,0
랄랄라 송,언니쓰,언니들의 슬램덩크 시즌 2,KBS미디어,카카오 M,201705,0,0,0,0,0
러브 델루나,"태용 (TAEYONG), 펀치 (Punch)",호텔 델루나 OST Part.13,냠냠엔터테인먼트,카카오 M,201908,0,0,0,0,0
러브 레시피,"거미, 바비킴",러브 레시피,YG Entertainment,Stone Music Entertainment,201012,1,0,0,0,0
러브 레시피,클래지콰이 (Clazziquai),5집 Blessed,플럭서스,예당컴퍼니,201303,0,0,0,0,0
러시안 룰렛 (Russian Roulette),레드벨벳(Red Velvet),Russian Roulette - The 3rd Mini Album,SM Entertainment,지니뮤직,201609-201610-201611,1,0,1,1,0
레시피,브라운 아이드 걸스,레시피,내가 네트워크,카카오 M,201307,1,0,0,0,0
레옹,"이유 갓지(GOD G)않은이유(박명수, 아이유)",무한도전 영동고속도로 가요제,MBC,NHN벅스,201508-201509,1,0,2,2,1
로미오 & 줄리엣 (Vocal 슈프림팀(Supreme Team)),신승훈,20th Anniversary - Best Collection & T...,DOROTHY COMPANY,Stone Music Entertainment,201011,0,0,0,0,0
로코 드라마,신혜성,delight,라이브웍스컴퍼니,Stone Music Entertainment,201601,0,0,0,0,0
루팡 (Lupin),카라 (KARA),루팡 (Lupin),DSP미디어,Stone Music Entertainment,201003,1,0,1,1,0
리듬 타 (RHYTHM TA),iKON,WELCOME BACK,YG Entertainment,지니뮤직,201510,1,0,1,0,0
리듬속으로,서인영,Ellythm,스타제국,Stone Music Entertainment,201101,0,0,0,0,0
리본 (Ribbon),비스트 (Beast),Highlight,큐브엔터테인먼트,Universal Music,201607,1,0,1,0,0
리얼러브송,케이윌 (K.Will),최고의 사랑 OST Part 1,더그루브엔터테인먼트,카카오 M,201106,0,0,0,0,0
리얼리티,악동뮤지션 (AKMU),사춘기 하 (思春記 下),YG Entertainment,지니뮤직,201702,0,0,0,0,0
리턴 (RETURN),코요태(KYT),코요태 어글리 (Koyote Ugly),피케이미디어,카카오 M,201006,1,0,0,0,0
립스틱 (Lip Stick),오렌지 캬라멜 (Orange Caramel),립스틱 (LIPSTICK),플레디스,카카오 M,201209-201210,1,0,2,0,0
링가 링가 (RINGA LINGA),태양,RINGA LINGA,YG Entertainment,지니뮤직,201311,1,0,0,0,0
링마벨 (Ring My Bell),걸스데이 (Girl`s Day),Girl`s Day Love Second Album,드림티 엔터테인먼트,카카오 M,201507,1,0,1,0,0
"마네퀸 (Feat. Beenzino, 수란)",프라이머리 (Primary),2-2,아메바컬쳐,카카오 M,201506,1,0,0,0,0
마녀가 된 이유,NS Yoon-G,NEO SPIRIT,JTM엔터테인먼트,Sony Music,201202,0,0,0,0,0
마리아 (Maria),화사(Hwa Sa),Mara,RBW,카카오 M,202007-202008,1,1,2,2,0
마법소녀 (魔法少女),오렌지 캬라멜 (Orange Caramel),The First Mini Album,플레디스,지니뮤직,201007,1,0,0,0,0
마법의 성,MC 스나이퍼,Museum,포니캐년코리아,포니캐년코리아,201001,0,0,0,0,0
마에스트로 (Maestro),창모 (CHANGMO),돈 벌 시간 2,Deoksokids,루미넌트엔터테인먼트,201702,0,0,0,0,0
마음,아이유 (IU),마음,로엔트리,카카오 M,201505-201506-201507,1,0,2,2,0
마음 단단히 먹어 (Feat. 에일리),MC몽,MISS ME OR DISS ME,드림티 엔터테인먼트,카카오 M,201411,1,0,1,0,0
마음대로,이진아,K팝 스타 시즌4 `마음대로`,SBS 콘텐츠허브,카카오 M,201412,1,0,0,0,0
마음으로만,박정현,상속자들 OST Part 8,"FNC엔터테인먼트, 화앤담픽쳐스",Stone Music Entertainment,201312,1,1,0,0,0
마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11,EDAM엔터테인먼트,카카오 M,202002-202003-202004-202005-202006-202007-202008,1,0,2,1,0
마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (Maktub),Red Moon _ Happiness,MAKTUB Company,Warner Music,202001-202002-202003,1,0,0,0,0
마일리지 (Mileage) (With YDG),정용화(Jung Yong Hwa),어느 멋진 날,FNC엔터테인먼트,Stone Music Entertainment,201501,0,0,0,0,0
마주보며 서 있어,인피니트 (Infinite),Reality,에스엠컬처앤콘텐츠레이블울림,카카오 M,201507,0,0,0,0,0
마지막 사랑,박지헌,마지막 사랑 (Remake),Hanstar Republic,카카오 M,201012,0,0,0,0,0
마지막 장면 (Feat. 이성경),싸이 (PSY),PSY 8th 4X2=8,YG Entertainment,지니뮤직,201705,1,0,0,0,0
마지막 처음,"창민(2AM), 멜로디데이",마지막 처음,카카오 M,카카오 M,201405,0,0,0,0,0
마지막으로 안아도 될까,허각,마지막으로 안아도 될까,플레이엠엔터테인먼트,카카오 M,201802,0,0,0,0,0
마지막처럼,BLACKPINK,마지막처럼,YG Entertainment,지니뮤직,201706-201707-201708-201709,1,0,1,1,0
마치 비행기 (Feat. 개리),산이 (San E),마치 비행기,브랜뉴뮤직,카카오 M,201606,0,0,0,0,0
마치 우린 없었던 사이 (Prod. 정키),다비치,마치 우린 없었던 사이 (Prod. 정키),Stone Music Entertainment,Stone Music Entertainment,201809,0,0,0,0,0
막걸리 한잔,영탁,내일은 미스터트롯 데스매치 PART1,"TV CHOSUN, 쇼플레이",카카오 M,202008,0,0,0,0,0
막걸리나,버스커 버스커 (Busker Busker),슈퍼스타K3 TOP 11 Part 5,Stone Music Entertainment,Stone Music Entertainment,201111,1,0,1,0,0
막잔하고 나갈게 (Lost One),다이나믹 듀오 (Dynamic Duo),Dynamic Duo 6th Digilog 1/2,아메바컬쳐,Stone Music Entertainment,201111,0,0,0,0,0
만세,양세형 X BewhY,무한도전 위대한 유산,MBC,카카오 M,201701,1,0,0,0,0
만약에 말야 (전우성 Solo),노을,4집 Time For Love,ITM,카카오 M,201401-201507,0,0,0,0,0
만약에 말야 (화생방실 클레오파트라) (Bonus Track),화생방실 클레오파트라,복면가왕 14회,MBC,NHN벅스,201509,0,0,0,0,0
만우절 (Mirror),MC 스나이퍼 with 일리닛,2010 Snipersound #1,스나이퍼사운드,포니캐년코리아,201004,0,0,0,0,0
말도 안돼 (개인의 취향 OST),윤하,Lost In Love,이김프로덕션,카카오 M,201004,1,0,0,0,0
말리꽃 (원곡가수 이승철),이정,`나는 가수다 2` 10월 B조 경연,아이엠비씨,아이엠비씨,201210-201211,1,0,0,0,0
말만해 (What You Want) (Feat. 김성규),칸토,말만해 (What You Want),브랜뉴뮤직,카카오 M,201310-201311,0,0,0,0,0
말하는 대로,"윤성기, 조재일",보이스코리아 2 Part 5,제이엘뮤즈(JLmuse),Stone Music Entertainment,201304,0,0,0,0,0
말하는 대로,처진 달팽이,무한도전 서해안 고속도로 가요제,MBC,지니뮤직,201107,1,0,1,0,0
말하지 않아도,노을,그리움,ITM,카카오 M,201110,0,0,0,0,0
말할 수 없는 비밀,문명진,킬미힐미 OST Part 3,팬엔터테인먼트,한국음반산업협회,201502,0,0,0,0,0
"말해 Yes Or No (Feat. PENOMECO, The Quie...",지코 (ZICO),말해 Yes Or No,세븐시즌스,Stone Music Entertainment,201510,1,0,0,0,0
말해! 뭐해?,케이윌 (K.Will),태양의 후예 OST Part.6,"오우엔터테인먼트, 뮤직앤뉴",뮤직앤뉴,201603-201604-201605,1,0,2,1,0
말해봐 (Talk Talk),소녀시대,4집 I Got A Boy,SM Entertainment,지니뮤직,201301,0,0,0,0,0
말해줄 수 없나요,엠투엠 (M To M),말해줄 수 없나요,뮤니트엔터테인먼트,NHN벅스,201209,0,0,0,0,0
말해줘 (Feat.엄정화),지누션,Jinusean,YG Entertainment,지니뮤직,201501,1,0,0,0,0
말해줘요,걸스데이 (Girl`s Day),Girl`s Day Party #6,드림티 엔터테인먼트,카카오 M,201308,1,0,0,0,0
맘 편히 (Comfortable),"사이먼 도미닉 (Simon Dominic), GRAY, 원 (ONE)",쇼미더머니 5 Episode 2,Stone Music Entertainment,Stone Music Entertainment,201606-201607,1,0,1,0,0
맙소사,"황태지(황광희, 태양, 지드래곤)",무한도전 영동고속도로 가요제,MBC,NHN벅스,201508-201509,1,0,2,1,0
맞지?,언니쓰,언니들의 슬램덩크 시즌 2,KBS미디어,카카오 M,201705-201706,1,0,1,1,0
매력있어,악동뮤지션 (AKMU),SBS K팝 스타 시즌2 매력있어,SBS 콘텐츠허브,카카오 M,201212-201301,1,0,1,1,0
매일 그대와,소진 (걸스데이),응답하라 1988 OST Part 8,"Stone Music Entertainment, 쿵엔터테인먼트",Stone Music Entertainment,201601,1,0,0,0,0
매일 다른 눈물이,손승연,Sonnet Blooms,포츈 엔터테인먼트,카카오 M,201405,0,0,0,0,0
매일 듣는 노래 (A Daily Song),황치열,Be ordinary,How엔터테인먼트,NHN벅스,201706-201707-201708-201709-201710,1,0,1,0,0
매일 매일 기다려,정준영,슈퍼스타K 4 TOP12 Part 1,Stone Music Entertainment,Stone Music Entertainment,201210,0,0,0,0,0
매일 이별,김연지,매일 이별,"네버랜드, 마루기획",카카오 M,201404,0,0,0,0,0
매일밤,EXID,매일밤,에이비엔터테인먼트,카카오 M,201210,0,0,0,0,0
매트리스,10cm,4.1,매직스트로베리사운드,카카오 M,201809,1,0,0,0,0
맨정신,빅뱅,D,YG Entertainment,지니뮤직,201507,1,0,1,1,0
머물러요,백아연,I`m Baek,"AQ엔터테인먼트, JYP 엔터테인먼트",지니뮤직,201209,0,0,0,0,0
먹고하고자고,다이나믹 듀오 (Dynamic Duo),GRAND CARNIVAL,아메바컬쳐,카카오 M,201511,0,0,0,0,0
먼 길,박서준,그녀는 예뻤다 OST Part 6,본팩토리월드와이드,카카오 M,201511,0,0,0,0,0
먼 훗날에 (원곡가수 박정운),윤하,`나는 가수다 2` 8월 B조 경연,아이엠비씨,아이엠비씨,201208,0,0,0,0,0
먼지가 되어,김광석,김광석 Best,아인스디지탈,Stone Music Entertainment,201210,0,0,0,0,0
먼지가 되어,"로이킴, 정준영",슈퍼스타K4 TOP12 Part 1,Stone Music Entertainment,Stone Music Entertainment,201210-201211-201212,1,0,2,1,0
멀리서 안부,윤하,직장의 신 OST Part 2,㈜토탈셋,에이앤지모즈,201305,0,0,0,0,0
멀어져간 사람아 (박상민),장혜진,`나는 가수다` 경연 8-2. `1990년대 명곡`,아이엠비씨,NHN벅스,201109,0,0,0,0,0
멀어진다,용감한 녀석들,1집 A To Z,위닝인사이트 엔터테인먼트,Universal Music,201212,0,0,0,0,0
멀어질까봐,C-Clown (씨클라운),Young Love,예당엔터테인먼트,카카오 M,201212,0,0,0,0,0
멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),자이언티(Zion.T),ZZZ,The Black Label,지니뮤직,201810-201811,1,0,0,0,0
멋진헛간,"오대천왕(정형돈, 밴드 혁오)",무한도전 영동고속도로 가요제,MBC,NHN벅스,201508-201509,1,0,1,0,0
멍청이(twit),화사(Hwa Sa),멍청이(twit),RBW,카카오 M,201902-201903-201904-201905,1,0,2,2,0
메뚜기월드,유재석,박명수의 어떤가요,아이엠비씨,지니뮤직,201301,1,0,0,0,0
메아리,김보경,메아리,Sony Music,Sony Music,201201,0,0,0,0,0
메아리,김태우,T-School,소울샵엔터테인먼트,카카오 M,201104,1,0,0,0,0
메아리 (Love Me Now),NCT 127,NCT #127 Neo Zone - The 2nd Album,SM Entertainment,Dreamus,202003,0,0,0,0,0
멘붕 (CL Solo),2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`,YG Entertainment,지니뮤직,201403,1,1,0,0,0
명동콜링,카더가든,더 팬 2ROUND Part.1,더파이브문화산업전문회사,카카오 M,201901,0,0,0,0,0
"명수네 떡볶이 (Feat. 김예림, UL)",박명수,명수네 떡볶이,거성엔터테인먼트,카카오 M,201407,1,0,0,0,0
몇 년 후에,블락비 (Block B),몇 년 후에,세븐시즌스,Stone Music Entertainment,201604,1,0,0,0,0
몇번이고 (Feat. 박지윤),스윗소로우(Sweet Sorrow),스윗 소로우 겨울 프로젝트 싱글 `몇번이고`,뮤직앤뉴,카카오 M,201312,0,0,0,0,0
모나리자 (Mona Lisa),엠블랙 (MBLAQ),모나리자,J.Tune Camp,Stone Music Entertainment,201107,1,0,0,0,0
모노드라마,"허각, 유승우",Little Giant,플레이엠엔터테인먼트,Stone Music Entertainment,201301-201302-201303,1,0,1,1,0
모닝콜,10cm,The 2nd EP,텐뮤직,미러볼뮤직,201302,0,0,0,0,0
모두 다 사랑하리 (송골매),김경호,`나는 가수다` 경연 9-1. 가수들이 부르고 싶은 노래,아이엠비씨,NHN벅스,201109,0,0,0,0,0
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,SM Entertainment,Dreamus,201805-201806-201807-201808-201809-201810-201811-201812-201901-201902-201903-201904-201905-201906-201907-201908-201909-201910-201911-201912-202001-202002-202003-202004-202005-202006-202007-202008,1,0,7,1,0
모래시계 (Prod. 헤이즈),Wanna One (워너원) - 더힐,1÷χ=1 (UNDIVIDED),"SWING Entertainment, Stone Music Entertainment",Stone Music Entertainment,201808,0,0,0,0,0
모르나봐,"소유, 브라더수",그녀는 예뻤다 OST Part.4,본팩토리월드와이드,카카오 M,201510-201511,1,0,1,0,0
모르시나요,다비치,아이리스Ⅱ OST Part 1,태원엔터테인먼트,Stone Music Entertainment,201302-201303,1,0,0,0,0
모르시죠,먼데이 키즈 (Monday Kiz),낭만닥터 김사부 2 OST Part.7,냠냠엔터테인먼트,카카오 M,202002,0,0,0,0,0
목소리,김필,목소리,"Stone Music Entertainment, MMO Entertainment",지니뮤직,201903,0,0,0,0,0
목소리,노을,보이지 않는 것들,YNB Entertainment,카카오 M,201501-201502,1,0,2,1,0
목소리 (Feat. 개리),백지영,Good Boy,더블유에스엔터테인먼트,카카오 M,201205-201206,1,0,1,1,0
목숨을 건다,2PM,Don`t Stop Can`t Stop,JYP Entertainment,카카오 M,201004,0,0,0,0,0
목요일 밤 (Feat. 빈지노),어반 자카파 (Urban Zakapa),목요일 밤,메이크어스엔터테인먼트,카카오 M,201608-201609-201610,1,0,1,0,0
몰라요,에이핑크 (Apink),Seven Springs Of Apink,Stone Music Entertainment,플레이엠엔터테인먼트,201106,0,0,0,0,0
몰랐니 (Lil’ Touch),소녀시대-Oh!GG,몰랐니 - The 1st Single Album,SM Entertainment,Dreamus,201809,1,0,0,0,0
몸 좀 녹이자,"산이(San E), 버벌진트(Verbal Jint), 범키, 한해, 칸토, 강민희, 양다일, 캔들",BRAND NEW YEAR 2015 `BRAND NEW SHIT`,브랜뉴뮤직,카카오 M,201512,0,0,0,0,0
몸만와 (With 버벌진트),팬텀(Phantom),몸만와,"WA엔터테인먼트,브랜뉴뮤직",카카오 M,201304,0,0,0,0,0
몸매 (MOMMAE) (Feat. Ugly Duck),박재범,몸매 (MOMMAE),AOMG,Stone Music Entertainment,201509,0,0,0,0,0
몹쓸 노래 (Feat. 칸토),럼플피쉬,I Am Rumble Fish,폴라리스,카카오 M,201401,0,0,0,0,0
못 잊은 거죠(If),박진영,드림하이 OST,홀림,카카오 M,201102,1,0,1,0,0
못난 남자야,구피 (Goofy),Unplugged Soul,스타코아 엔터테인먼트,카카오 M,201009,0,0,0,0,0
못먹는 감 (Sour Grapes),"산이(San E), 매드 클라운(Mad Clown)",못먹는 감,"스타쉽엔터테인먼트, 브랜뉴뮤직",카카오 M,201511-201512,1,0,1,0,0
못해,美,시크릿 가든 OST Special,어치브그룹디엔,Sony Music,201011,0,0,0,0,0
못해 (Feat. 美),포맨 (4Men),The 3rd Generation (Special Album),YWHO Enterprise,Sony Music,201001-201002-201003,1,0,1,0,0
"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4,모그커뮤니케이션즈,Universal Music,201410,1,0,0,0,0
무궁화,"매드 클라운 (Mad Clown), 도넛맨 (Donutman), 보이비 (Boi B), 샵건 (#Gun)",쇼미더머니 5 Episode 1,Stone Music Entertainment,Stone Music Entertainment,201607,0,0,0,0,0
무릎,아이유 (IU),CHAT-SHIRE,로엔트리,카카오 M,201510,1,0,0,0,0
무서운 짝사랑,장범준,장범준 1집,"(주)버스커버스커,Stone Music Entertainment",Stone Music Entertainment,201408,0,0,0,0,0
무슨 말이 필요해 (Go Away),용준형,YONG JUN HYUNG 1ST ALBUM `GOODBYE 20`s...,어라운드 어스,카카오 M,201805,0,0,0,0,0
"무제(無題) (Untitled, 2014)",G-Dragon,권지용,YG Entertainment,지니뮤직,201706-201707-201708,1,0,2,1,1
무조건 해피엔딩 (Stick Wit U),소녀시대,`Oh!` The Second Album,SM Entertainment,지니뮤직,201001,0,0,0,0,0
무지개 (虹 / Niji) (후쿠야마 마사하루 리메이크 / 드라마 `...,비스트 (Beast),무지개 (후쿠야마 마사하루 리메이크),Universal Music,Universal Music,201103,0,0,0,0,0
문나이트 (Feat. D.O),유브이 (UV),문나이트90 (Digital Single),Stone Music Entertainment,Stone Music Entertainment,201110,0,0,0,0,0
문배동 단골집 (Feat. 크러쉬),에픽하이 (EPIK HIGH),WE`VE DONE SOMETHING WONDERFUL,YG Entertainment,지니뮤직,201710,0,0,0,0,0
문자 (Feat. 백지영),마리오 (Mario),문자,플레이엠엔터테인먼트,카카오 M,201202,1,0,0,0,0
문제아 (Full Ver.),"수퍼비, UNEDUCATED KID",Catch Me If You Can,영앤리치 레코즈,카카오 M,201905,0,0,0,0,0
물 만난 물고기,악동뮤지션 (AKMU),항해,YG Entertainment,YG PLUS,201911,0,0,0,0,0
물 좋아?,포미닛 (4minute),물 좋아?,큐브엔터테인먼트,Universal Music,201307,1,1,0,0,0
물들어,손승연,보이스 코리아 Part 2,제이엘뮤즈(JLmuse),Stone Music Entertainment,201204-201205,0,0,0,0,0
뭐해 (What are you up to),강다니엘,color on me,KONNECT ENTERTAINMENT,Sony Music,201909,0,0,0,0,0
뭘 해도 똑같다,더 원 (The One),New Wave Studio (Vol. 1),LOMO,카카오 M,201306,0,0,0,0,0
미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real,카카오 M,카카오 M,201012-201412-201912,1,0,1,0,0
미스 김,자이언티(Zion.T),미러볼,아메바컬쳐,카카오 M,201312,0,0,0,0,0
미스코리아,이효리,5집 Monochrome,"B2M 엔터테인먼트, Stone Music Entertainment",Stone Music Entertainment,201305,1,0,1,1,0
미스터리 (Feat. San E),박지윤,미스터 (Mr.),미스틱스토리,카카오 M,201310-201311,1,0,0,0,0
미슬토우 (Mistletoe),"긱스 (Geeks), 팬텀 (Phantom), 에스나",Wayogayo Vol.1,WA엔터테인먼트,카카오 M,201312,0,0,0,0,0
미안합니다.,V.O.S,This Is Voice Of Soul,스타제국,카카오 M,201003,1,0,0,0,0
미안해,양다일,inside,브랜뉴뮤직,카카오 M,201810-201901-201902,1,0,0,0,0
미안해,정준일,마녀의 연애 OST Part 2,Stone Music Entertainment,Stone Music Entertainment,201405,0,0,0,0,0
미안해 (Feat. Beenzino),자이언티(Zion.T),OO,The Black Label,지니뮤직,201702,1,0,0,0,0
"미안해 (Song by 서은광, 이민혁, 이창섭)",비투비 (BTOB),"미안해 (Song by 서은광, 이민혁, 이창섭)",큐브엔터테인먼트,카카오 M,201904,0,0,0,0,0
미안해 사랑해서...(Feat. 케이윌),길미,Love Actually,지와이엠엔터테인먼트,카카오 M,201008,1,0,0,0,0
미안해서 미안해,김진표 (JP),6집 JP6,레이블 벅스,NHN벅스,201207,1,0,0,0,0
미운 나,어반 자카파 (Urban Zakapa),(04),플럭서스,지니뮤직,201411,0,0,0,0,0
미운 날,이해리,h,"Stone Music Entertainment, B2M Entertainment",Stone Music Entertainment,201704,0,0,0,0,0
"미운 날 (The day, I hate myself)",닐로 (Nilo),29,리메즈,Universal Music,201903,1,0,0,0,0
미운오리새끼,god,미운오리새끼,"아이에이치큐,god",Stone Music Entertainment,201405,1,0,1,1,1
미운오리새끼,손승연,Voice Korea The Final,Universal Music,Universal Music,201205,0,0,0,0,0
미워요,정인,정인 From Andromeda,정글엔터테인먼트,Stone Music Entertainment,201003,1,0,0,0,0
미인,디셈버 (December),Beautiful Woman,씨에스해피엔터테인먼트,씨에스해피엔터테인먼트,201105,1,0,0,0,0
미인,울랄라세션,슈퍼스타K3 TOP 11 Part 3,Stone Music Entertainment,Stone Music Entertainment,201110,1,0,0,0,0
미인아 (BONAMANA),슈퍼주니어 (Super Junior),`미인아 (BONAMANA)` The 4th Album,SM Entertainment,지니뮤직,201005-201006,1,0,1,0,0
미쳐,포미닛 (4minute),Crazy,큐브엔터테인먼트,Universal Music,201502-201503,1,0,1,0,0
미쳐가 (Feat. 미르),간미연,미쳐가,쏘스뮤직,지니뮤직,201007,1,0,0,0,0
미쳤어 (Feat. Don Mills),빈지노(Beenzino),Up All Night,ILLIONAIRE RECORDS,Stone Music Entertainment,201407,0,0,0,0,0
미치게 만들어,효린,주군의 태양 OST Part 3,본 팩토리 & 로엔엔터테인먼트,카카오 M,201308-201309,1,0,2,0,0
미치게 보고싶은,태연 (TAEYEON),더킹 투하츠 OST Part 1,김종학 프로덕션 & DRM미디어,카카오 M,201204,1,0,1,0,0
미치겠어,틴 탑 (Teen Top),It`s,티오피미디어,카카오 M,201201,1,0,1,0,0
미치고 싶다,한동근,한동근 1ST ALBUM ‘Your Diary’,플레디스,카카오 M,201705-201706,1,0,0,0,0
미친 듯이,2AM,1집 Saint O`clock,빅히트엔터테인먼트 & JYP엔터테인먼트,카카오 M,201010-201011,1,0,0,0,0
미친 소리,이예준,미친 소리,뮤니콘,Dreamus,202006-202007-202008,0,0,0,0,0
미친개 (feat.San E),예지 (피에스타),미친개,로엔트리,카카오 M,201512,0,0,0,0,0
미친거 아니야?,2PM,미친거 아니야?,JYP Entertainment,지니뮤직,201409,1,0,0,0,0
미친거니,바이브 (Vibe),4집 Vibe In Praha,태일런스미디어,Stone Music Entertainment,201008,0,0,0,0,0
미친거니 (Feat. 방용국),송지은,미친거니 (Digital Single),TS엔터테인먼트,카카오 M,201103-201104,1,0,1,1,0
미친놈 (Feat. 제시),샵건 (#Gun),쇼미더머니 5 Episode 4,Stone Music Entertainment,Stone Music Entertainment,201607-201608,1,0,0,0,0
미친연애 (Bad Girl) (Feat. E-Sens),범키,미친연애,브랜뉴뮤직,카카오 M,201306,1,0,1,1,0
미행,먼데이 키즈 (Monday Kiz),The Ballad,캔 엔터테인먼트,카카오 M,201112,1,0,0,0,0
민물 장어의 꿈 (우리 동네 음악대장) (Bonus Track),하현우,복면가왕 62회,MBC,NHN벅스,201606,0,0,0,0,0
믿어줄래 (Full Melody Korean Ver.),박재범,믿어줄래 [EP],Warner Music,Warner Music,201007,1,0,1,0,0
밀리언조각 (A Million Pieces),규현 (KYUHYUN),"다시, 가을이 오면 - The 2nd Mini Album",SM Entertainment,지니뮤직,201510,1,0,0,0,0
밀지마 (Original Ver.),"웬디, 슬기",함부로 애틋하게 OST Part.7,"삼화네트웍스,iHQ,가지컨텐츠,SM Entertainment",카카오 M,201607-201608,0,0,0,0,0
밑바닥에서 (Feat. Bumkey),타블로,"열꽃, Part 1",YG Entertainment,지니뮤직,201110,0,0,0,0,0
바다,"허각, 정은지(Apink)",‘PLAN A’ FIRST EPISODE,플레이엠엔터테인먼트,카카오 M,201608,1,0,0,0,0
바다 (Feat. 기리보이) (Prod. 기리보이),"Woodie Gochild, 최엘비 (CHOILB), BIG Naughty (서동현), 영비, Chillin Homie",쇼미더머니 8 Episode 2,Stone Music Entertainment,지니뮤직,201910,0,0,0,0,0
